model,accuracy,kappa,precision_macro,recall_macro,f1_macro,best_params,model_path
KNN,0.992517006802721,0.9910204081632653,0.9925775404755678,0.992517006802721,0.9925056771752564,"{'model__metric': 'euclidean', 'model__n_neighbors': 3, 'model__weights': 'distance'}",F:\ANDRES\JAVERIANA ANDRES\8 Semestre Sistemas\Tecnologias Emergentes\Proyecto 2\proyect-EDT\outputs_v2\models\KNN.pkl
ANN,0.9840136054421769,0.9808163265306122,0.9841191814017939,0.9840136054421769,0.9839633673328478,"{'model__activation': 'relu', 'model__hidden_layer_sizes': (50, 50), 'model__learning_rate_init': 0.01}",F:\ANDRES\JAVERIANA ANDRES\8 Semestre Sistemas\Tecnologias Emergentes\Proyecto 2\proyect-EDT\outputs_v2\models\ANN.pkl
Decision_Tree,0.9833333333333333,0.98,0.9833575665082902,0.9833333333333334,0.9833444231772995,"{'model__criterion': 'entropy', 'model__max_depth': 20, 'model__min_samples_split': 2}",F:\ANDRES\JAVERIANA ANDRES\8 Semestre Sistemas\Tecnologias Emergentes\Proyecto 2\proyect-EDT\outputs_v2\models\Decision_Tree.pkl
SVM,0.9785714285714285,0.9742857142857143,0.9789974674568466,0.9785714285714286,0.9786244907092648,"{'model__C': 10, 'model__gamma': 'scale', 'model__kernel': 'linear'}",F:\ANDRES\JAVERIANA ANDRES\8 Semestre Sistemas\Tecnologias Emergentes\Proyecto 2\proyect-EDT\outputs_v2\models\SVM.pkl
Naive_Bayes,0.844047619047619,0.8128571428571428,0.8472797009945632,0.844047619047619,0.8401219511136729,{'model__var_smoothing': 1e-09},F:\ANDRES\JAVERIANA ANDRES\8 Semestre Sistemas\Tecnologias Emergentes\Proyecto 2\proyect-EDT\outputs_v2\models\Naive_Bayes.pkl
