model,accuracy,kappa,precision_macro,recall_macro,f1_macro,best_params,model_path
KNN,0.996742671009772,0.995928338762215,0.9967541997951578,0.9967426710097719,0.9967434406999682,"{'model__metric': 'euclidean', 'model__n_neighbors': 3, 'model__weights': 'distance'}",f:\ANDRES\JAVERIANA ANDRES\8 Semestre Sistemas\Tecnologias Emergentes\Proyecto 2\proyect-EDT\outputs\models\KNN.pkl
Decision_Tree,0.9941368078175896,0.992671009771987,0.9941458912859538,0.9941368078175895,0.9941319164713592,"{'model__criterion': 'entropy', 'model__max_depth': 20, 'model__min_samples_split': 5}",f:\ANDRES\JAVERIANA ANDRES\8 Semestre Sistemas\Tecnologias Emergentes\Proyecto 2\proyect-EDT\outputs\models\Decision_Tree.pkl
SVM,0.9853420195439739,0.9816775244299675,0.9862147779533839,0.9853420195439739,0.9853131955028471,"{'model__C': 10, 'model__gamma': 'scale', 'model__kernel': 'linear'}",f:\ANDRES\JAVERIANA ANDRES\8 Semestre Sistemas\Tecnologias Emergentes\Proyecto 2\proyect-EDT\outputs\models\SVM.pkl
ANN,0.9846905537459283,0.9808631921824105,0.9855203529642373,0.9846905537459284,0.9846501087149304,"{'model__activation': 'tanh', 'model__hidden_layer_sizes': (100,), 'model__learning_rate_init': 0.01}",f:\ANDRES\JAVERIANA ANDRES\8 Semestre Sistemas\Tecnologias Emergentes\Proyecto 2\proyect-EDT\outputs\models\ANN.pkl
Naive_Bayes,0.8814332247557003,0.8517915309446253,0.8784891210332585,0.8814332247557004,0.8793872185407696,{'model__var_smoothing': 1e-06},f:\ANDRES\JAVERIANA ANDRES\8 Semestre Sistemas\Tecnologias Emergentes\Proyecto 2\proyect-EDT\outputs\models\Naive_Bayes.pkl
